TOV_POS,TT100,TT101,TT102,TT103,TT104,TT105,TT106,TT108,TT109,TT110,TT112,TT119,TT120,TT121,TT122,TT123,TT124,TT125,TT126,TT210,TT212,GEN_POT_ATT_KW,GEN_TENSIONE,CPT104,CPT105,DPT113,IC113,ST102,XT101,TT127,TT128,TT129,TT130,FCV134,TOVSPOS,TOFS,XT100,PT212,Fault
99.985,287.851,249.26,274.631,52.489,90.542,21.288,263.849,252.49,196.342,229.253,91.696,128.965,55.141,60.373,71.183,54.639,57.721,54.779,49.722,49.043,55.889,784.761,664.053,9.141,0.28,2803.343,839.486,3006.741,0.074,119.642,234.272,208.332,166.214,100.0,95.015,1000.0,0.545,329.84,0
99.992,281.977,246.279,270.182,54.592,90.781,20.399,258.625,248.255,193.627,224.743,91.475,127.938,51.902,59.181,69.466,48.995,51.793,49.013,50.392,47.011,52.769,700.829,668.805,8.536,0.281,2801.504,806.946,3005.788,0.078,123.522,231.665,210.136,162.351,100.0,95.241,1000.0,0.535,329.312,0
99.946,289.396,250.316,276.301,52.971,90.791,20.15,265.417,253.887,197.137,230.576,92.049,129.331,53.755,59.492,69.721,52.898,55.862,53.048,50.762,46.826,54.32,800.665,671.941,9.281,0.282,2805.176,847.837,3006.441,0.08,121.618,234.659,210.78,166.834,100.0,95.05,1000.0,0.588,329.489,0
99.865,299.17,255.241,283.134,52.545,91.881,23.903,273.937,260.666,202.894,238.963,94.205,133.338,60.149,62.643,72.564,63.292,66.593,63.678,48.501,52.151,61.397,923.28,669.889,10.341,0.298,2804.324,903.073,3008.501,0.079,118.637,241.138,210.637,174.482,100.0,94.953,1000.0,0.594,329.463,0
99.98,288.097,249.292,274.738,51.468,91.604,20.735,263.323,252.039,196.526,228.776,91.849,128.546,53.014,59.498,70.46,50.561,53.408,50.677,60.317,47.66,54.28,774.537,670.427,9.107,0.284,2802.453,837.716,3006.524,0.075,123.616,241.351,216.541,163.575,100.0,95.143,1000.0,0.563,329.558,0
99.854,300.158,255.647,283.628,54.515,91.791,24.702,274.573,261.118,203.241,239.669,94.21,133.574,60.818,63.154,73.259,64.036,67.386,64.472,61.42,53.601,62.466,934.942,668.442,10.437,0.299,2807.835,907.261,3007.605,0.081,118.223,242.424,210.903,174.506,100.0,95.11,1000.0,0.566,331.309,0
99.881,300.024,255.574,283.538,53.204,91.768,25.829,274.447,261.03,203.268,239.566,94.059,133.443,61.722,63.97,74.017,64.932,68.241,65.317,55.937,54.64,63.461,938.237,669.185,10.435,0.297,2803.387,908.342,3007.641,0.078,118.233,242.811,211.253,174.82,100.0,95.069,1000.0,0.555,332.255,0
99.888,296.397,253.234,280.542,52.235,91.253,26.74,270.741,257.983,200.515,236.066,92.98,131.489,60.742,64.569,74.759,64.615,67.855,64.893,55.337,54.057,62.369,896.074,669.975,10.046,0.29,2801.508,885.966,3007.572,0.077,119.38,240.72,210.97,171.4,100.0,95.106,1000.0,0.542,332.411,0
99.939,296.79,253.923,281.38,52.271,91.66,26.903,271.52,258.665,201.213,236.602,93.368,132.005,61.409,64.511,74.819,63.976,67.145,64.225,51.257,54.475,63.11,893.806,666.675,10.069,0.293,2802.654,888.742,3007.905,0.076,119.137,241.397,211.641,172.834,100.0,95.067,1000.0,0.521,332.372,0
99.913,294.318,252.605,279.572,51.364,91.188,27.511,269.25,256.803,199.556,234.552,92.649,130.834,61.525,65.02,75.359,64.113,67.254,64.319,47.375,54.761,63.016,865.768,669.608,9.804,0.287,2802.554,875.111,3007.797,0.074,121.101,238.408,211.922,171.111,100.0,95.129,1000.0,0.52,332.639,0
99.891,301.011,256.145,284.582,51.651,92.268,27.11,275.24,261.685,203.712,240.347,94.37,133.748,62.864,65.067,74.855,67.158,70.44,67.523,47.879,55.635,64.839,943.513,665.496,10.514,0.3,2803.838,911.881,3008.338,0.082,119.262,243.706,212.823,175.79,100.0,95.15,1000.0,0.567,332.773,0
99.892,299.447,255.365,283.55,52.527,92.269,27.257,273.752,260.561,202.909,238.942,94.366,133.309,62.425,64.946,75.16,65.654,68.864,65.982,47.42,55.625,64.511,919.141,666.999,10.345,0.302,2803.536,904.59,3008.393,0.076,122.114,243.798,215.919,173.99,100.0,95.016,1000.0,0.549,332.744,0
99.801,300.476,255.966,284.281,53.048,92.303,27.376,274.75,261.275,203.561,239.975,94.627,133.872,63.145,64.94,75.253,66.341,69.581,66.688,47.925,56.03,64.935,930.165,666.989,10.453,0.304,2803.644,910.242,3008.602,0.077,122.557,244.115,216.699,174.684,100.0,94.977,1000.0,0.547,332.956,0
99.783,300.65,256.104,284.449,52.987,92.35,27.012,274.94,261.383,203.681,240.078,94.661,133.909,62.979,64.689,74.897,66.004,69.259,66.353,48.069,56.099,64.894,931.02,667.946,10.464,0.305,2803.371,910.351,3008.245,0.08,122.583,244.779,217.07,174.822,100.0,94.904,1000.0,0.555,332.763,0
99.811,298.952,255.192,283.391,52.725,92.005,26.589,273.431,260.239,202.358,238.537,94.056,132.948,62.228,64.254,74.593,64.509,67.693,64.807,47.709,55.44,64.004,912.163,667.857,10.276,0.3,2804.416,900.817,3007.844,0.076,122.779,242.553,216.209,173.29,100.0,94.999,1000.0,0.549,332.576,0
99.78,301.611,256.532,285.197,52.287,92.393,26.585,275.64,261.993,204.059,240.849,94.577,134.025,62.716,64.465,74.698,66.129,69.369,66.482,48.014,55.661,64.581,945.245,667.662,10.559,0.304,2803.402,914.427,3008.125,0.082,122.077,245.023,216.782,174.833,100.0,95.044,1000.0,0.55,332.68,0
99.757,297.616,254.536,282.498,51.565,91.748,25.669,272.2,259.329,201.729,237.34,93.517,132.343,60.806,63.472,73.718,62.736,65.887,63.015,48.149,53.917,62.465,897.408,668.641,10.122,0.295,2804.868,892.336,3007.613,0.077,121.246,242.753,214.987,172.437,100.0,94.986,1000.0,0.55,332.133,0
99.819,299.543,255.571,283.948,52.355,92.205,25.991,273.85,260.734,203.07,238.945,94.231,133.651,61.48,63.945,74.164,64.27,67.482,64.589,47.977,54.156,63.289,917.75,666.857,10.335,0.301,2803.17,903.24,3007.916,0.078,118.346,244.415,212.238,174.318,100.0,95.012,1000.0,0.558,332.091,0
99.934,290.565,250.833,276.921,52.883,92.066,24.575,266.085,254.269,198.822,232.104,93.138,131.467,58.698,62.446,73.019,58.615,61.567,58.723,48.607,52.56,60.243,802.11,669.612,9.423,0.296,2804.29,854.378,3006.476,0.076,123.371,241.196,214.787,168.907,100.0,95.097,1000.0,0.552,331.389,0
99.865,297.853,254.681,282.705,52.832,90.745,25.48,272.337,259.355,201.493,237.295,93.033,131.96,60.562,63.317,73.684,62.371,65.5,62.641,48.956,53.612,62.031,904.934,668.441,10.135,0.291,2804.485,892.633,3007.766,0.076,119.822,242.095,213.385,171.97,100.0,95.077,1000.0,0.551,331.563,0
99.949,290.543,250.878,277.083,53.528,91.186,24.51,266.23,254.32,198.469,231.817,92.493,130.493,58.672,62.36,72.928,58.24,61.182,58.331,57.726,52.482,59.917,805.669,668.922,9.397,0.29,2805.299,854.292,3006.615,0.073,123.787,241.834,216.937,168.563,100.0,95.047,1000.0,0.553,331.115,0
99.896,297.406,254.308,282.363,52.253,89.653,23.678,272.035,259.113,201.327,236.787,91.893,130.839,58.585,62.151,72.483,61.133,64.192,61.412,50.238,52.165,60.583,913.902,668.505,10.081,0.281,2804.921,888.572,3008.252,0.077,118.415,244.468,214.09,171.93,100.0,95.069,1000.0,0.586,331.78,0
